Wort,Schwierigkeit,Thema,Lernstatus,Beispielsatz
nass,leicht,Im Badezimmer,neu,-,
kämmen,leicht,Im Badezimmer,neu,-,
das Klo,leicht,Im Badezimmer,neu,-,
müssen,leicht,Im Badezimmer,neu,-,
abwischen,leicht,Im Badezimmer,neu,-,
die Nägel schneiden,leicht,Im Badezimmer,neu,-,
duschen,mittel,Im Badezimmer,neu,-,
die Dusche,mittel,Im Badezimmer,neu,-,
die Badewanne,mittel,Im Badezimmer,neu,-,
abtrocknen,mittel,Im Badezimmer,neu,-,
die Creme,mittel,Im Badezimmer,neu,-,
eincremen,mittel,Im Badezimmer,neu,-,
das Öl,mittel,Im Badezimmer,neu,-,
das Shampoo,mittel,Im Badezimmer,neu,-,
ausspülen,mittel,Im Badezimmer,neu,-,
der Föhn,mittel,Im Badezimmer,neu,-,
die Bürste,mittel,Im Badezimmer,neu,-,
bürsten,mittel,Im Badezimmer,neu,-,
der Kamm,mittel,Im Badezimmer,neu,-,
die Toilette,mittel,Im Badezimmer,neu,-,
die Brille,mittel,Im Badezimmer,neu,-,
gern,mittel,Im Badezimmer,neu,-,
schon,mittel,Im Badezimmer,neu,-,
oft,mittel,Im Badezimmer,neu,-,
die Karies,schwer,Im Badezimmer,neu,-,
das Badetuch,schwer,Im Badezimmer,neu,-,
das Toilettenpapier,schwer,Im Badezimmer,neu,-,
das Taschentuch,schwer,Im Badezimmer,neu,-,
die Nagelschere,schwer,Im Badezimmer,neu,-,
lecker,leicht,Frühstück und Abendessen,neu,-,
das Brot,leicht,Frühstück und Abendessen,neu,-,
das Brötchen,leicht,Frühstück und Abendessen,neu,-,
die Butter,leicht,Frühstück und Abendessen,neu,-,
die Marmelade,leicht,Frühstück und Abendessen,neu,-,
der Honig,leicht,Frühstück und Abendessen,neu,-,
das Ei,leicht,Frühstück und Abendessen,neu,-,
die Wurst,leicht,Frühstück und Abendessen,neu,-,
der Käse,leicht,Frühstück und Abendessen,neu,-,
der Salat,leicht,Frühstück und Abendessen,neu,-,
die Cornflakes,leicht,Frühstück und Abendessen,neu,-,
das Müsli,leicht,Frühstück und Abendessen,neu,-,
der/das Joghurt,leicht,Frühstück und Abendessen,neu,-,
trinken,leicht,Frühstück und Abendessen,neu,-,
die Milch,leicht,Frühstück und Abendessen,neu,-,
der Kakao,leicht,Frühstück und Abendessen,neu,-,
der Tee,leicht,Frühstück und Abendessen,neu,-,
die Zitrone,leicht,Frühstück und Abendessen,neu,-,
der Saft,leicht,Frühstück und Abendessen,neu,-,
Hunger haben,mittel,Frühstück und Abendessen,neu,-,
Durst haben,mittel,Frühstück und Abendessen,neu,-,
das Frühstück,mittel,Frühstück und Abendessen,neu,-,
die Brezel,mittel,Frühstück und Abendessen,neu,-,
der Toast,mittel,Frühstück und Abendessen,neu,-,
die Salami,mittel,Frühstück und Abendessen,neu,-,
ein Brot schmieren,mittel,Frühstück und Abendessen,neu,-,
abbeißen,mittel,Frühstück und Abendessen,neu,-,
der Quark,mittel,Frühstück und Abendessen,neu,-,
das Mineralwasser,mittel,Frühstück und Abendessen,neu,-,
der Apfelsaft,mittel,Frühstück und Abendessen,neu,-,
der Orangensaft,mittel,Frühstück und Abendessen,neu,-,
das Abendessen,mittel,Frühstück und Abendessen,neu,-,
hungrig,schwer,Frühstück und Abendessen,neu,-,
durstig,schwer,Frühstück und Abendessen,neu,-,
satt,schwer,Frühstück und Abendessen,neu,-,
die Mahlzeit,schwer,Frühstück und Abendessen,neu,-,
frühstücken,schwer,Frühstück und Abendessen,neu,-,
das Vollkornbrot,schwer,Frühstück und Abendessen,neu,-,
der Frischkäse,schwer,Frühstück und Abendessen,neu,-,
der Kaffee,schwer,Frühstück und Abendessen,neu,-,
das Getränk,schwer,Frühstück und Abendessen,neu,-,
zu Abend essen,schwer,Frühstück und Abendessen,neu,-,
bloß,schwer,Frühstück und Abendessen,neu,-,
ob,schwer,Frühstück und Abendessen,neu,-,
die Suppe,leicht,Guten Appetit!,neu,-,
die Kartoffel,leicht,Guten Appetit!,neu,-,
der Reis,leicht,Guten Appetit!,neu,-,
die Nudel,leicht,Guten Appetit!,neu,-,
das Fleisch,leicht,Guten Appetit!,neu,-,
das Würstchen,leicht,Guten Appetit!,neu,-,
der/das Ketchup,leicht,Guten Appetit!,neu,-,
der Fisch,leicht,Guten Appetit!,neu,-,
die Tomate,leicht,Guten Appetit!,neu,-,
die Gurke,leicht,Guten Appetit!,neu,-,
die Karotte,leicht,Guten Appetit!,neu,-,
die Möhre,leicht,Guten Appetit!,neu,-,
die Erbse,leicht,Guten Appetit!,neu,-,
der Spinat,leicht,Guten Appetit!,neu,-,
noch,leicht,Guten Appetit!,neu,-,
das Mittagessen,mittel,Guten Appetit!,neu,-,
der Kartoffelbrei,mittel,Guten Appetit!,neu,-,
die Spaghetti,mittel,Guten Appetit!,neu,-,
die Pizza,mittel,Guten Appetit!,neu,-,
die Olive,mittel,Guten Appetit!,neu,-,
das Gulasch,mittel,Guten Appetit!,neu,-,
die Bratwurst,mittel,Guten Appetit!,neu,-,
das Fischstäbchen,mittel,Guten Appetit!,neu,-,
das Gemüse,mittel,Guten Appetit!,neu,-,
der Blumenkohl,mittel,Guten Appetit!,neu,-,
der Brokkoli,mittel,Guten Appetit!,neu,-,
die Paprika,mittel,Guten Appetit!,neu,-,
der Mais,mittel,Guten Appetit!,neu,-,
die Soße,mittel,Guten Appetit!,neu,-,
der Senf,mittel,Guten Appetit!,neu,-,
das Salz,mittel,Guten Appetit!,neu,-,
der Pfeffer,mittel,Guten Appetit!,neu,-,
der Essig,mittel,Guten Appetit!,neu,-,
zu (heiß-sauer ...),mittel,Guten Appetit!,neu,-,
der Eintopf,schwer,Guten Appetit!,neu,-,
der Auflauf,schwer,Guten Appetit!,neu,-,
das Rindfleisch,schwer,Guten Appetit!,neu,-,
das Schweinefleisch,schwer,Guten Appetit!,neu,-,
das Lammfleisch,schwer,Guten Appetit!,neu,-,
das Brathähnchen,schwer,Guten Appetit!,neu,-,
die Frikadelle,schwer,Guten Appetit!,neu,-,
der Dönerkebab,schwer,Guten Appetit!,neu,-,
der Döner,schwer,Guten Appetit!,neu,-,
die Zwiebel,schwer,Guten Appetit!,neu,-,
der Champignon,schwer,Guten Appetit!,neu,-,
die Zucchini,schwer,Guten Appetit!,neu,-,
der Lauch,schwer,Guten Appetit!,neu,-,
die Bohne,schwer,Guten Appetit!,neu,-,
der Kohl,schwer,Guten Appetit!,neu,-,
verdauen,schwer,Guten Appetit!,neu,-,
der Apfel,leicht,Gegen den kleinen Hunger,neu,-,
die Banane,leicht,Gegen den kleinen Hunger,neu,-,
die Orange,leicht,Gegen den kleinen Hunger,neu,-,
die Melone,leicht,Gegen den kleinen Hunger,neu,-,
der Kuchen,leicht,Gegen den kleinen Hunger,neu,-,
der Keks,leicht,Gegen den kleinen Hunger,neu,-,
die Schokolade,leicht,Gegen den kleinen Hunger,neu,-,
das Eis,leicht,Gegen den kleinen Hunger,neu,-,
der Pudding,leicht,Gegen den kleinen Hunger,neu,-,
mehr,leicht,Gegen den kleinen Hunger,neu,-,
weniger,leicht,Gegen den kleinen Hunger,neu,-,
das Obst,mittel,Gegen den kleinen Hunger,neu,-,
die Mandarine,mittel,Gegen den kleinen Hunger,neu,-,
der Pfirsich,mittel,Gegen den kleinen Hunger,neu,-,
saftig,mittel,Gegen den kleinen Hunger,neu,-,
die Birne,mittel,Gegen den kleinen Hunger,neu,-,
die Kirsche,mittel,Gegen den kleinen Hunger,neu,-,
die Pflaume,mittel,Gegen den kleinen Hunger,neu,-,
die Ananas,mittel,Gegen den kleinen Hunger,neu,-,
die Kiwi,mittel,Gegen den kleinen Hunger,neu,-,
der Nachtisch,mittel,Gegen den kleinen Hunger,neu,-,
das Kompott,mittel,Gegen den kleinen Hunger,neu,-,
der Schokoladenpudding,mittel,Gegen den kleinen Hunger,neu,-,
naschen,mittel,Gegen den kleinen Hunger,neu,-,
das Bonbon,mittel,Gegen den kleinen Hunger,neu,-,
nur,mittel,Gegen den kleinen Hunger,neu,-,
der Appetit,schwer,Gegen den kleinen Hunger,neu,-,
der Apfelkuchen,schwer,Gegen den kleinen Hunger,neu,-,
schälen,schwer,Gegen den kleinen Hunger,neu,-,
die Schale,schwer,Gegen den kleinen Hunger,neu,-,
das Mehl,schwer,Gegen den kleinen Hunger,neu,-,
das Backpulver,schwer,Gegen den kleinen Hunger,neu,-,
der Zucker,schwer,Gegen den kleinen Hunger,neu,-,
die Margarine,schwer,Gegen den kleinen Hunger,neu,-,
die Sahne,schwer,Gegen den kleinen Hunger,neu,-,
der Obstsalat,schwer,Gegen den kleinen Hunger,neu,-,
die Süßigkeit,schwer,Gegen den kleinen Hunger,neu,-,
ungesund,schwer,Gegen den kleinen Hunger,neu,-,
die Gabel,leicht,Messer - Gabel - Löffel,neu,-,
das Messer,leicht,Messer - Gabel - Löffel,neu,-,
der Löffel,leicht,Messer - Gabel - Löffel,neu,-,
sich auftun,leicht,Messer - Gabel - Löffel,neu,-,
sich nehmen,leicht,Messer - Gabel - Löffel,neu,-,
der Teller,leicht,Messer - Gabel - Löffel,neu,-,
die Tasse,leicht,Messer - Gabel - Löffel,neu,-,
das Glas,leicht,Messer - Gabel - Löffel,neu,-,
der Becher,leicht,Messer - Gabel - Löffel,neu,-,
das Schälchen,leicht,Messer - Gabel - Löffel,neu,-,
danke,leicht,Messer - Gabel - Löffel,neu,-,
bitte,leicht,Messer - Gabel - Löffel,neu,-,
der Teelöffel,mittel,Messer - Gabel - Löffel,neu,-,
der Esslöffel,mittel,Messer - Gabel - Löffel,neu,-,
der Suppenlöffel,mittel,Messer - Gabel - Löffel,neu,-,
die Schüssel,mittel,Messer - Gabel - Löffel,neu,-,
die Wasserflasche,mittel,Messer - Gabel - Löffel,neu,-,
eingießen,mittel,Messer - Gabel - Löffel,neu,-,
der Strohhalm,mittel,Messer - Gabel - Löffel,neu,-,
der Suppenteller,mittel,Messer - Gabel - Löffel,neu,-,
das Brettchen,mittel,Messer - Gabel - Löffel,neu,-,
die Kanne,mittel,Messer - Gabel - Löffel,neu,-,
den Tisch decken,mittel,Messer - Gabel - Löffel,neu,-,
abräumen,mittel,Messer - Gabel - Löffel,neu,-,
abwaschen,mittel,Messer - Gabel - Löffel,neu,-,
pusten,mittel,Messer - Gabel - Löffel,neu,-,
schmatzen,mittel,Messer - Gabel - Löffel,neu,-,
das Besteck,schwer,Messer - Gabel - Löffel,neu,-,
löffeln,schwer,Messer - Gabel - Löffel,neu,-,
die Suppenkelle,schwer,Messer - Gabel - Löffel,neu,-,
verteilen,schwer,Messer - Gabel - Löffel,neu,-,
das Geschirr,schwer,Messer - Gabel - Löffel,neu,-,
tief,schwer,Messer - Gabel - Löffel,neu,-,
flach,schwer,Messer - Gabel - Löffel,neu,-,
die Untertasse,schwer,Messer - Gabel - Löffel,neu,-,
die Tischdecke,schwer,Messer - Gabel - Löffel,neu,-,
die Serviette,schwer,Messer - Gabel - Löffel,neu,-,
das Tablett,schwer,Messer - Gabel - Löffel,neu,-,
der Rest,schwer,Messer - Gabel - Löffel,neu,-,
aufheben,schwer,Messer - Gabel - Löffel,neu,-,
sich benehmen,schwer,Messer - Gabel - Löffel,neu,-,
sich bedanken,schwer,Messer - Gabel - Löffel,neu,-,
kleckern,schwer,Messer - Gabel - Löffel,neu,-,
schlingen,schwer,Messer - Gabel - Löffel,neu,-,
schlürfen,schwer,Messer - Gabel - Löffel,neu,-,
rülpsen,schwer,Messer - Gabel - Löffel,neu,-,
kochen,leicht,Wir kochen,neu,-,
der Topf,leicht,Wir kochen,neu,-,
der Deckel,leicht,Wir kochen,neu,-,
aufmachen,leicht,Wir kochen,neu,-,
zumachen,leicht,Wir kochen,neu,-,
rühren,leicht,Wir kochen,neu,-,
dazutun,leicht,Wir kochen,neu,-,
voll,leicht,Wir kochen,neu,-,
leer,leicht,Wir kochen,neu,-,
der Koch,mittel,Wir kochen,neu,-,
umrühren,mittel,Wir kochen,neu,-,
der Kochlöffel,mittel,Wir kochen,neu,-,
die Pfanne,mittel,Wir kochen,neu,-,
braten,mittel,Wir kochen,neu,-,
backen,mittel,Wir kochen,neu,-,
die Backform,mittel,Wir kochen,neu,-,
der Topflappen,mittel,Wir kochen,neu,-,
der Grill,mittel,Wir kochen,neu,-,
grillen,mittel,Wir kochen,neu,-,
durchschneiden,mittel,Wir kochen,neu,-,
abschneiden,mittel,Wir kochen,neu,-,
der Dosenöffner,mittel,Wir kochen,neu,-,
das Sieb,mittel,Wir kochen,neu,-,
frisch,mittel,Wir kochen,neu,-,
hart,mittel,Wir kochen,neu,-,
fertig,mittel,Wir kochen,neu,-,
man,mittel,Wir kochen,neu,-,
das Rezept,schwer,Wir kochen,neu,-,
der Messbecher,schwer,Wir kochen,neu,-,
roh,schwer,Wir kochen,neu,-,
gar,schwer,Wir kochen,neu,-,
knusprig,schwer,Wir kochen,neu,-,
das Gewürz,schwer,Wir kochen,neu,-,
würzen,schwer,Wir kochen,neu,-,
scharf,schwer,Wir kochen,neu,-,
salzen,schwer,Wir kochen,neu,-,
versalzen,schwer,Wir kochen,neu,-,
süßen,schwer,Wir kochen,neu,-,
reiben,schwer,Wir kochen,neu,-,
halbieren,schwer,Wir kochen,neu,-,
die Hälfte,schwer,Wir kochen,neu,-,
der Schneebesen,schwer,Wir kochen,neu,-,
die Eieruhr,schwer,Wir kochen,neu,-,
das Küchentuch,schwer,Wir kochen,neu,-,
einfrieren,schwer,Wir kochen,neu,-,
erst,schwer,Wir kochen,neu,-,
nachdem,schwer,Wir kochen,neu,-,
der Laden,leicht,Wo kaufen wir ein?,neu,-,
das Kaufhaus,leicht,Wo kaufen wir ein?,neu,-,
der Markt,leicht,Wo kaufen wir ein?,neu,-,
der Bäcker,leicht,Wo kaufen wir ein?,neu,-,
alles,leicht,Wo kaufen wir ein?,neu,-,
der Supermarkt,mittel,Wo kaufen wir ein?,neu,-,
das Geschäft,mittel,Wo kaufen wir ein?,neu,-,
der Kiosk,mittel,Wo kaufen wir ein?,neu,-,
der Metzger,mittel,Wo kaufen wir ein?,neu,-,
der Fleischer,mittel,Wo kaufen wir ein?,neu,-,
das Fischgeschäft,mittel,Wo kaufen wir ein?,neu,-,
der Spielzeugladen,mittel,Wo kaufen wir ein?,neu,-,
der Zeitungsladen,mittel,Wo kaufen wir ein?,neu,-,
die Zeitschrift,mittel,Wo kaufen wir ein?,neu,-,
der Comic,mittel,Wo kaufen wir ein?,neu,-,
der Friseur,mittel,Wo kaufen wir ein?,neu,-,
Haare schneiden,mittel,Wo kaufen wir ein?,neu,-,
das Schuhgeschäft,mittel,Wo kaufen wir ein?,neu,-,
der Schuster,mittel,Wo kaufen wir ein?,neu,-,
Schuhe reparieren,mittel,Wo kaufen wir ein?,neu,-,
das Zoogeschäft,mittel,Wo kaufen wir ein?,neu,-,
das Tierfutter,mittel,Wo kaufen wir ein?,neu,-,
das Blumengeschäft,mittel,Wo kaufen wir ein?,neu,-,
die Abteilung,schwer,Wo kaufen wir ein?,neu,-,
die Spielwarenabteilung,schwer,Wo kaufen wir ein?,neu,-,
der Obst- und Gemüsehändler,schwer,Wo kaufen wir ein?,neu,-,
der Bioladen,schwer,Wo kaufen wir ein?,neu,-,
die Metzgerei,schwer,Wo kaufen wir ein?,neu,-,
die Fleischerei,schwer,Wo kaufen wir ein?,neu,-,
die Drogerie,schwer,Wo kaufen wir ein?,neu,-,
die Apotheke,schwer,Wo kaufen wir ein?,neu,-,
das Medikament,schwer,Wo kaufen wir ein?,neu,-,
der Optiker,schwer,Wo kaufen wir ein?,neu,-,
eine Brille aussuchen,schwer,Wo kaufen wir ein?,neu,-,
das Schreibwarengeschäft,schwer,Wo kaufen wir ein?,neu,-,
das Briefpapier,schwer,Wo kaufen wir ein?,neu,-,
die Buchhandlung,schwer,Wo kaufen wir ein?,neu,-,
der Juwelier,schwer,Wo kaufen wir ein?,neu,-,
das Gold,schwer,Wo kaufen wir ein?,neu,-,
aus Silber,schwer,Wo kaufen wir ein?,neu,-,
der Edelstein,schwer,Wo kaufen wir ein?,neu,-,
die Auswahl,schwer,Wo kaufen wir ein?,neu,-,
die Reinigung,schwer,Wo kaufen wir ein?,neu,-,
der Baumarkt,schwer,Wo kaufen wir ein?,neu,-,
das Möbelhaus,schwer,Wo kaufen wir ein?,neu,-,
das Stück,leicht,Wie viel darf es sein?,neu,-,
die Scheibe,leicht,Wie viel darf es sein?,neu,-,
die Flasche,leicht,Wie viel darf es sein?,neu,-,
einpacken,leicht,Wie viel darf es sein?,neu,-,
die Dose,leicht,Wie viel darf es sein?,neu,-,
die Tüte,leicht,Wie viel darf es sein?,neu,-,
das Kilo,mittel,Wie viel darf es sein?,neu,-,
die Waage,mittel,Wie viel darf es sein?,neu,-,
der Liter,mittel,Wie viel darf es sein?,neu,-,
die Tafel Schokolade,mittel,Wie viel darf es sein?,neu,-,
der Kasten,mittel,Wie viel darf es sein?,neu,-,
der Karton,mittel,Wie viel darf es sein?,neu,-,
das Paket,mittel,Wie viel darf es sein?,neu,-,
die Pfandflasche,mittel,Wie viel darf es sein?,neu,-,
verpackt,mittel,Wie viel darf es sein?,neu,-,
viel,mittel,Wie viel darf es sein?,neu,-,
wenig,mittel,Wie viel darf es sein?,neu,-,
nichts,mittel,Wie viel darf es sein?,neu,-,
die Ware,schwer,Wie viel darf es sein?,neu,-,
die Packung,schwer,Wie viel darf es sein?,neu,-,
das Bund,schwer,Wie viel darf es sein?,neu,-,
der Meter,schwer,Wie viel darf es sein?,neu,-,
der Zentimeter,schwer,Wie viel darf es sein?,neu,-,
das Pfund,schwer,Wie viel darf es sein?,neu,-,
das Gramm,schwer,Wie viel darf es sein?,neu,-,
die Menge,schwer,Wie viel darf es sein?,neu,-,
abwiegen,schwer,Wie viel darf es sein?,neu,-,
einige,schwer,Wie viel darf es sein?,neu,-,
ein paar,schwer,Wie viel darf es sein?,neu,-,
eine Handvoll,schwer,Wie viel darf es sein?,neu,-,
die Frische,schwer,Wie viel darf es sein?,neu,-,
haltbar,schwer,Wie viel darf es sein?,neu,-,
abgepackt,schwer,Wie viel darf es sein?,neu,-,
teuer,schwer,Wie viel darf es sein?,neu,-,
billig,schwer,Wie viel darf es sein?,neu,-,
umsonst,schwer,Wie viel darf es sein?,neu,-,
einzeln,schwer,Wie viel darf es sein?,neu,-,
der Zettel,leicht,An der Kasse,neu,-,
der Korb,leicht,An der Kasse,neu,-,
die Tasche,leicht,An der Kasse,neu,-,
kaufen,leicht,An der Kasse,neu,-,
bezahlen,leicht,An der Kasse,neu,-,
das Geld,leicht,An der Kasse,neu,-,
der Euro,leicht,An der Kasse,neu,-,
der Cent,leicht,An der Kasse,neu,-,
die Kasse,leicht,An der Kasse,neu,-,
kosten,leicht,An der Kasse,neu,-,
Wie viel kostet das?,leicht,An der Kasse,neu,-,
der Einkaufszettel,mittel,An der Kasse,neu,-,
aufschreiben,mittel,An der Kasse,neu,-,
die Einkaufstasche,mittel,An der Kasse,neu,-,
einkaufen,mittel,An der Kasse,neu,-,
der Einkaufswagen,mittel,An der Kasse,neu,-,
schieben,mittel,An der Kasse,neu,-,
die Theke,mittel,An der Kasse,neu,-,
der Verkäufer,mittel,An der Kasse,neu,-,
der Preis,mittel,An der Kasse,neu,-,
die Kassiererin,mittel,An der Kasse,neu,-,
Schlange stehen,mittel,An der Kasse,neu,-,
ausrechnen,mittel,An der Kasse,neu,-,
zählen,mittel,An der Kasse,neu,-,
der Geldschein,mittel,An der Kasse,neu,-,
die Münze,mittel,An der Kasse,neu,-,
das Portemonnaie,mittel,An der Kasse,neu,-,
tauschen,mittel,An der Kasse,neu,-,
verkaufen,schwer,An der Kasse,neu,-,
die Kundin,schwer,An der Kasse,neu,-,
das Preisschild,schwer,An der Kasse,neu,-,
das Sonderangebot,schwer,An der Kasse,neu,-,
der Gutschein,schwer,An der Kasse,neu,-,
das Geldstück,schwer,An der Kasse,neu,-,
die Geldbörse,schwer,An der Kasse,neu,-,
der Geldautomat,schwer,An der Kasse,neu,-,
die Scheckkarte,schwer,An der Kasse,neu,-,
zahlen,schwer,An der Kasse,neu,-,
bar,schwer,An der Kasse,neu,-,
das Wechselgeld,schwer,An der Kasse,neu,-,
der Kassenzettel,schwer,An der Kasse,neu,-,
bestellen,schwer,An der Kasse,neu,-,
der Katalog,schwer,An der Kasse,neu,-,
umtauschen,schwer,An der Kasse,neu,-,
vergleichen,schwer,An der Kasse,neu,-,
ausmessen,schwer,An der Kasse,neu,-,
die Umkleidekabine,schwer,An der Kasse,neu,-,
die Marke,schwer,An der Kasse,neu,-,
werben,schwer,An der Kasse,neu,-,
das Plakat,schwer,An der Kasse,neu,-,
anziehen,leicht,Was ziehe ich heute an?,neu,-,
ausziehen,leicht,Was ziehe ich heute an?,neu,-,
anhaben,leicht,Was ziehe ich heute an?,neu,-,
der Pulli,leicht,Was ziehe ich heute an?,neu,-,
die Hose,leicht,Was ziehe ich heute an?,neu,-,
das Kleid,leicht,Was ziehe ich heute an?,neu,-,
der Rock,leicht,Was ziehe ich heute an?,neu,-,
die Jacke,leicht,Was ziehe ich heute an?,neu,-,
die Unterhose,leicht,Was ziehe ich heute an?,neu,-,
das Unterhemd,leicht,Was ziehe ich heute an?,neu,-,
der Schlafanzug,leicht,Was ziehe ich heute an?,neu,-,
umziehen,mittel,Was ziehe ich heute an?,neu,-,
überziehen,mittel,Was ziehe ich heute an?,neu,-,
anprobieren,mittel,Was ziehe ich heute an?,neu,-,
das T-Shirt,mittel,Was ziehe ich heute an?,neu,-,
das Hemd,mittel,Was ziehe ich heute an?,neu,-,
der Pullover,mittel,Was ziehe ich heute an?,neu,-,
die Jeans,mittel,Was ziehe ich heute an?,neu,-,
die Matschhose,mittel,Was ziehe ich heute an?,neu,-,
der Anorak,mittel,Was ziehe ich heute an?,neu,-,
der Mantel,mittel,Was ziehe ich heute an?,neu,-,
die Regenjacke,mittel,Was ziehe ich heute an?,neu,-,
der Schlüpfer,mittel,Was ziehe ich heute an?,neu,-,
der Body,mittel,Was ziehe ich heute an?,neu,-,
der Schlafsack,mittel,Was ziehe ich heute an?,neu,-,
das Nachthemd,mittel,Was ziehe ich heute an?,neu,-,
der Bademantel,mittel,Was ziehe ich heute an?,neu,-,
die Badehose,mittel,Was ziehe ich heute an?,neu,-,
der Badeanzug,mittel,Was ziehe ich heute an?,neu,-,
schick,mittel,Was ziehe ich heute an?,neu,-,
neu,mittel,Was ziehe ich heute an?,neu,-,
weich,mittel,Was ziehe ich heute an?,neu,-,
tragen,schwer,Was ziehe ich heute an?,neu,-,
schützen,schwer,Was ziehe ich heute an?,neu,-,
die Kleidung,schwer,Was ziehe ich heute an?,neu,-,
das Sweatshirt,schwer,Was ziehe ich heute an?,neu,-,
passen,schwer,Was ziehe ich heute an?,neu,-,
die Strickjacke,schwer,Was ziehe ich heute an?,neu,-,
die Bluse,schwer,Was ziehe ich heute an?,neu,-,
die Weste,schwer,Was ziehe ich heute an?,neu,-,
der Anzug,schwer,Was ziehe ich heute an?,neu,-,
die Latzhose,schwer,Was ziehe ich heute an?,neu,-,
die Shorts,schwer,Was ziehe ich heute an?,neu,-,
die Unterwäsche,schwer,Was ziehe ich heute an?,neu,-,
die Sportsachen,schwer,Was ziehe ich heute an?,neu,-,
der Bikini,schwer,Was ziehe ich heute an?,neu,-,
das Badezeug,schwer,Was ziehe ich heute an?,neu,-,
die Badesachen,schwer,Was ziehe ich heute an?,neu,-,
eng,schwer,Was ziehe ich heute an?,neu,-,
weit,schwer,Was ziehe ich heute an?,neu,-,
bequem,schwer,Was ziehe ich heute an?,neu,-,
unbequem,schwer,Was ziehe ich heute an?,neu,-,
die Mütze,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Schal,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
binden,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Handschuh,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Strumpf,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
die Strumpfhose,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Schuh,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Hausschuh,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Stiefel,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Knopf,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
der Ring,leicht,Kapuze - Knopf und Klettverschluss,neu,-,
die Kapuze,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Kniestrumpf,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
die Socke,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
das Hosenbein,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
hochkrempeln,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
die Sandale,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Turnschuh,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Gummistiefel,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Klettverschluss,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Knoten,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
aufknöpfen,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
zuknöpfen,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Reißverschluss,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Gürtel,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
der Ohrring,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
die Kette,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
das Armband,mittel,Kapuze - Knopf und Klettverschluss,neu,-,
das Kostüm,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
verkleiden,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Hut,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
aufsetzen,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
das Kopftuch,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
das Tuch,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Kragen,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Rollkragen,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Ärmel,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
kurzärmelig,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
langärmelig,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
umkrempeln,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
die Hosentasche,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Straßenschuh,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Schnürsenkel,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
die Schleife,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
zubinden,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
die Schuhgröße,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Druckknopf,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
das Knopfloch,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
der Schmuck,schwer,Kapuze - Knopf und Klettverschluss,neu,-,
die Schere,leicht,Meine Hose ist kaputt,neu,-,
die Waschmaschine,leicht,Meine Hose ist kaputt,neu,-,
kaputt,leicht,Meine Hose ist kaputt,neu,-,
ganz,leicht,Meine Hose ist kaputt,neu,-,
der Fleck,leicht,Meine Hose ist kaputt,neu,-,
die Nadel,mittel,Meine Hose ist kaputt,neu,-,
der Faden,mittel,Meine Hose ist kaputt,neu,-,
nähen,mittel,Meine Hose ist kaputt,neu,-,
flicken,mittel,Meine Hose ist kaputt,neu,-,
